id,em,name,code
542,81575,Телеграф-п,CNTLP
543,74561,ТрансК ао,TRCN
544,497210,ТрансФ ао,TRFM
545,1012,Транснф ап,TRNFP
546,82611,УрКузница,URKZ
547,81953,УралСиб ао,USBN
548,19623,Уркалий-ао,URKA
549,20509,ФСК ЕЭС ао,FEES
550,81858,Физика ао,NPOF
551,81114,ФосАгро ао,PHOR
552,81939,Химпром ао,HIMC
553,81940,Химпром ап,HIMCP
554,19095,ЦМТ ао,WTCM
555,19096,ЦМТ ап,WTCMP
556,83121,ЧЗПСН ао,PRFN
557,21000,ЧКПЗ ао,CHKZ
558,21001,ЧМК ао,CHMK
559,20999,ЧТПЗ ао,CHEP
560,20125,ЧеркизГ-ао,GCHE
561,929597,ЭН+ГРУП ао,ENPG
562,81934,Электрцинк,ELTZ
563,16440,ЭнелРос ао,ENRU
564,20321,ЭнергияРКК,RKKE
565,15522,ЮТэйр ао,UTAR
566,82493,ЮУНК ао,UNKL
567,20717,ЮжКузб. ао,UKUZ
568,18584,Юнипро ао,UPRO
569,81917,ЯТЭК ао,YAKG
570,81769,Якутскэн-п,YKENP
571,81766,Якутскэнрг,YKEN
